,word,frequency
778,executive,72
779,independent,72
780,desperate,72
781,siempre,72
782,endorsement,72
783,access,72
784,opportunity,72
785,latest,72
786,five,72
787,espero,72
788,23,71
789,super,71
790,jail,71
791,14,71
792,means,71
793,final,71
794,cut,71
795,happening,71
796,viernes,71
797,three,71
798,safety,71
799,case,71
800,buy,70
801,whole,70
802,tu,70
803,sounds,70
804,wake,70
805,wife,70
806,supreme,70
807,numbers,70
808,fin,70
809,cost,70
810,bsn,70
811,njpolitics,69
812,scpol,69
813,child,69
814,wins,69
815,early,69
816,fall,69
817,north,69
818,different,69
819,breaking,69
820,va,69
821,braddock,69
822,death,69
823,mipolitics,68
824,mnpolitics,68
825,mspolitics,68
826,mopolitics,68
827,mopol,68
828,mtpolitics,68
829,mtnews,68
830,nepolitics,68
831,nepol,68
832,nvpolitics,68
833,nmpolitics,68
834,nypolitics,68
835,ncpolitics,68
836,ndpolitics,68
837,ohpolitics,68
838,okpolitics,68
839,orpolitics,68
840,ripolitics,68
841,sdpolitics,68
842,tnpolitics,68
843,violent,68
844,votebluenomatterwho,68
845,tan,68
846,labor,68
847,move,68
848,votebluetoprotectwomen,68
849,fire,68
850,near,67
851,rules,67
852,set,67
853,sick,67
854,selling,67
855,07,67
856,semana,67
857,sibling,67
858,town,67
859,monday,66
860,ass,66
861,helping,66
862,estoy,66
863,19,66
864,current,66
865,40,66
866,area,66
867,lindo,66
868,murderers,66
869,malcolmkenyatta,66
870,baby,66
871,babies,66
872,21,66
873,fair,66
874,others,66
875,daily,66
876,huge,65
877,supporting,65
878,department,65
879,vez,65
880,drozkillspuppies,65
881,carpetbagger,65
882,especially,65
883,sea,65
884,rest,65
885,sense,65
886,along,65
887,schoolchoice,65
888,youtube,64
889,sent,64
890,evil,64
891,cities,64
892,allow,64
893,entire,64
894,course,64
895,following,64
896,cares,64
897,winning,64
898,levifetterman,64
899,words,64
900,conference,64
901,bars,63
902,van,63
903,funds,63
904,lieutenant,63
905,increase,63
906,sb,63
907,side,63
908,feliz,63
909,attack,63
910,businesses,63
911,actions,63
912,opponent,63
913,credit,63
914,liquor,63
915,weeks,63
916,records,63
917,rural,63
918,resident,63
919,betoorourke,62
920,tomorrow,62
921,corrupt,62
922,dead,62
923,drug,62
924,service,62
925,college,62
926,valley,62
927,pabeer,61
928,shotgun,61
929,fbi,61
930,told,61
931,aunque,61
932,approved,61
933,ukraine,61
934,teamfetterman,61
935,list,61
936,consider,61
937,buen,61
938,seriously,61
939,hace,61
940,constitution,61
941,31,61
942,industry,61
943,saw,60
944,proposed,60
945,leave,60
946,donate,60
947,mind,60
948,four,60
949,results,60
950,supporters,60
951,ha,60
952,animal,60
953,nice,60
954,crazy,60
955,major,60
956,veterans,60
957,review,60
958,total,60
959,months,60
960,comes,60
961,healthcare,60
962,map,60
963,fentanyl,60
964,order,60
965,13,60
966,americafirst,60
967,fox,59
968,per,59
969,fighting,59
970,almost,59
971,goes,59
972,yesterday,59
973,herschel,59
974,leads,59
975,missing,59
976,loves,59
977,sorry,59
978,due,58
979,pghcitypaper,58
980,conor,58
981,fundraiser,58
982,visit,58
983,destroy,58
984,bidenflation,58
985,giving,58
986,farmers,58
987,herschelwalker,58
988,bs,58
989,bueno,58
990,facts,58
991,ahead,57
992,mucho,57
993,innocent,57
994,complete,57
995,fine,57
996,deal,57
997,income,57
998,turn,57
999,stupid,57
1000,forward,57
1001,coverage,57
1002,awesome,57
1003,leader,57
1004,non,57
1005,share,57
1006,algo,57
1007,n,57
1008,buenos,57
1009,gave,57
1010,disgusting,57
1011,south,57
1012,residents,56
1013,group,56
1014,guys,56
1015,están,56
1016,message,56
1017,russia,56
1018,relief,56
1019,thursday,56
1020,mr,56
1021,data,56
1022,ahora,56
1023,ojalá,56
1024,byjohnlmicek,56
1025,takes,56
1026,climate,56
1027,works,56
1028,research,56
1029,michigan,56
1030,billion,56
1031,given,55
1032,beer,55
1033,afford,55
1034,cómo,55
1035,perfect,55
1036,politicians,55
1037,damn,55
1038,mal,55
1039,resources,55
1040,medicare,55
1041,term,55
1042,treatment,54
1043,watching,54
1044,anymore,54
1045,buenas,54
1046,ir,54
1047,definitely,54
1048,heart,54
1049,noche,54
1050,b,54
1051,kelly,54
1052,step,54
1053,actual,54
1054,nunca,54
1055,msnbc,54
1056,joke,53
1057,horrible,53
1058,teacher,53
1059,continues,53
1060,rápido,53
1061,supported,53
1062,illegal,53
1063,likely,53
1064,register,53
1065,military,53
1066,flip,53
1067,v,53
1068,voy,53
1069,light,53
1070,donaldjtrumpjr,53
1071,leadership,53
1072,claims,53
1073,simple,53
1074,member,53
1075,nominations,52
1076,saveamerica,52
1077,present,52
1078,reverendwarnock,52
1079,vida,52
1080,puede,52
1081,zero,52
1082,capitol,52
1083,k,52
1084,animals,52
1085,ryan,52
1086,ca,52
1087,http,52
1088,points,52
1089,mis,52
1090,forget,52
1091,needed,52
1092,asking,52
1093,possible,52
1094,truly,52
1095,affairs,52
1096,kenyatta,52
1097,27,52
1098,ese,52
1099,registered,52
1100,available,52
1101,hand,51
1102,play,51
1103,third,51
1104,holds,51
1105,grifter,51
1106,wanted,51
1107,according,51
1108,experience,51
1109,housing,51
1110,donde,51
1111,dejar,51
1112,impact,51
1113,dnc,50
1114,29,50
1115,amendment,50
1116,legislative,50
1117,self,50
1118,newsmax,50
1119,pick,50
1120,jacob_fischler,50
1121,nobody,50
1122,address,50
1123,society,50
1124,key,50
1125,fan,50
1126,population,50
1127,wish,50
1128,trump2024,50
1129,illinois,50
1130,problems,50
1131,word,50
1132,level,50
1133,signs,50
1134,nov,50
1135,jan,50
1136,april,49
1137,tienen,49
1138,pac,49
1139,wednesday,49
1140,beautiful,49
1141,convicted,49
1142,pathetic,49
1143,except,49
1144,released,49
1145,central,49
1146,tells,49
1147,friend,49
1148,kristyswansonxo,49
1149,jennifer,49
1150,bridge,49
1151,retweet,49
1152,worth,49
1153,fun,49
1154,erie,49
1155,amazing,49
1156,thedemcoalition,49
1157,thedemocrats,49
1158,socialist,49
1159,strong,49
1160,dept,49
1161,blm,49
1162,able,49
1163,crisis,49
1164,common,49
1165,ppl,49
1166,paprimary,49
1167,jackposobiec,49
1168,imagine,49
1169,center,49
1170,beat,48
1171,bob_casey,48
1172,tried,48
1173,terrible,48
1174,también,48
1175,rt,48
1176,tom,48
1177,occupydemocrats,48
1178,benefits,48
1179,eric_biggz,48
1180,ideas,48
1181,lancaster,48
1182,difference,48
1183,efforts,48
1184,process,47
1185,tengo,47
1186,donald,47
1187,18,47
1188,standing,47
1189,reality,47
1190,defend,47
1191,fútbol,47
1192,deserves,47
1193,insurance,47
1194,article,47
1195,hours,47
1196,attacks,47
1197,fuck,47
1198,secretary,47
1199,constitutional,46
1200,interesting,46
1201,sean,46
1202,position,46
1203,highest,46
1204,boy,46
1205,fracking,46
1206,loser,46
1207,fettermanlt,46
1208,honor,46
1209,electionday,46
1210,market,46
1211,teachers,46
1212,several,46
1213,started,46
1214,explain,46
1215,hit,46
1216,rather,46
1217,lgbtq,46
1218,plans,46
1219,300,46
1220,sold,46
1221,lower,46
1222,tedcruz,46
1223,jimmykimmel,46
1224,dscc,46
1225,response,46
1226,taxpayer,46
1227,05,46
1228,ones,46
1229,mas,45
1230,wonder,45
1231,ny,45
1232,stories,45
1233,borders,45
1234,whatever,45
1235,add,45
1236,shame,45
1237,admin,45
1238,provide,45
1239,journal,45
1240,todas,45
1241,progressive,45
1242,glennbeck,45
1243,details,45
1244,dc,45
1245,stuff,45
1246,mark,45
1247,debates,45
1248,pennsylvanian,45
1249,citizenship,45
1250,david,45
1251,push,45
1252,dont,45
1253,cases,45
1254,contexto,45
1255,desantis,45
1256,sound,45
1257,nevada,45
1258,body,45
1259,citizen,44
1260,losing,44
1261,tweets,44
1262,fucking,44
1263,hb,44
1264,services,44
1265,september,44
1266,room,44
1267,plus,44
1268,bidenworstpresidentinhistory,44
1269,shot,44
1270,reminder,44
1271,ap,44
1272,redwave2022,44
1273,weird,44
1274,virginia,44
1275,seeing,44
1276,gone,44
1277,charter,44
1278,born,44
1279,owned,43
1280,cash,43
1281,playlist,43
1282,helped,43
1283,cool,43
1284,barnes,43
1285,destroying,43
1286,rate,43
1287,choose,43
1288,totally,43
1289,revenue,43
1290,menos,43
1291,funny,43
1292,sending,43
1293,allowed,43
1294,official,43
1295,pills,43
1296,focus,43
1297,trending,42
1298,sherrodbrown,42
1299,welcome,42
1300,charliecrist,42
1301,clean,42
1302,growth,42
1303,smart,42
1304,uno,42
1305,fit,42
1306,morethanmysle,42
1307,foreign,42
1308,fundraising,42
1309,04,42
1310,late,42
1311,apparently,42
1312,fix,42
1313,middle,42
1314,thinking,42
1315,taken,42
1316,platform,42
1317,desde,42
1318,knew,42
1319,voice,42
1320,corruption,42
1321,daddy,42
1322,test,42
1323,unless,42
1324,recent,42
1325,personas,42
1326,served,42
1327,nominee,41
1328,risk,41
1329,number,41
1330,putting,41
1331,delaware,41
1332,otro,41
1333,weak,41
1334,street,41
1335,mom,41
1336,dios,41
1337,leading,41
1338,happened,41
1339,stands,41
1340,bidendestroysamerica,41
1341,legislature,41
1342,spend,41
1343,sex,41
1344,brain,41
1345,bluewave,41
1346,ways,41
1347,finance,41
1348,mehmetoz,41
1349,mental,41
1350,picture,41
1351,penn,41
1352,rising,41
1353,ave,41
1354,vean,41
1355,critical,41
1356,soft,41
1357,price,41
1358,serve,41
1359,property,41
1360,bidenbordercrisis,41
1361,seem,41
1362,later,41
1363,filed,41
1364,arimelber,41
1365,sueonthetown,41
1366,kylietcheung,41
1367,cause,41
1368,guns,41
1369,abortions,41
1370,mapoli,41
1371,redwave,41
1372,campaigning,40
1373,cada,40
1374,patriot,40
1375,drop,40
1376,certainly,40
1377,esa,40
1378,piece,40
1379,seanhannity,40
1380,oprah,40
1381,youth,40
1382,toomey,40
1383,write,40
1384,gracias,40
1385,esas,40
1386,tanto,40
1387,career,40
1388,transportation,40
1389,josh,40
1390,mike,40
1391,putin,40
1392,opportunities,40
1393,threat,40
1394,taxpayers,40
1395,kurtbardella,40
1396,marxist,40
1397,arianalfigueroa,40
1398,remains,40
1399,basement,40
1400,begin,40
1401,alone,40
1402,statewide,40
1403,straight,40
1404,doc,39
1405,improve,39
1406,16,39
1407,senators,39
1408,cnn,39
